start-date,project,reference,fund,name,documentation-url,notes
2021-03-01,local-plan-pathfinders,local-plan-pathfinders,local-plan-pathfinders,Local Plan Pathfinders Fund,https://www.gov.uk/government/publications/local-plan-pathfinders-expressions-of-interest,
2021-10-01,open-digital-planning,proptech-round-1,proptech-round-1,PropTech Innovation Fund Round 1,https://www.localdigital.gov.uk/fund/proptech-engagement-fund/,
2022-01-21,open-digital-planning,odp-pathfinders,odp-pathfinders,Development Management Software Pathfinders,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
2022-01-21,open-digital-planning,ripa-bops,ripa-bops,RIPA/BOPS Fund,https://mhclgdigital.blog.gov.uk/2022/01/21/modernising-planning-software-in-collaboration-with-councils-and-suppliers/,
2022-03-01,open-digital-planning,proptech-round-2,proptech-round-2,PropTech Innovation Fund Round 2,https://www.gov.uk/government/news/new-digital-tools-to-help-residents-have-their-say-on-local-developments,
2022-09-01,open-digital-planning,odp-top-up-1,odp-top-up-1,Open Digital Planning Fund Top-Up 1,,
2022-12-01,open-digital-planning,proptech-top-up,proptech-top-up,PropTech Innovation Fund Top-Up,,
2023-01-01,open-digital-planning,odp-top-up-2,odp-top-up-2,Open Digital Planning Fund Top-Up 2,,
2023-03-01,open-digital-planning,odp-software-improvement,odp-software-improvement,Planning Software Improvement Fund,,
2023-03-01,open-digital-planning,proptech-round-3,proptech-round-3,PropTech Innovation Fund Round 3,,
2023-12-01,open-digital-planning,odp-top-up-3,odp-top-up-3,Open Digital Planning Top-Up Fund 3,,
2024-01-01,open-digital-planning,odp-top-up-4,odp-top-up-4,Open Digital Planning Top-Up Fund 4,,
2024-02-01,open-digital-planning,odp-round-2,odp-round-2,Digital Planning Improvement Fund Round 2,,
2024-02-01,open-digital-planning,proptech-round-4,proptech-round-4,PropTech Innovation Fund Round 4,,
2025-02-28,open-digital-planning,odp-round-3,odp-round-3,ODP Digital Planning Improvement Funding,,
2025-02-28,open-digital-planning,odp-adoption-top-up,odp-adoption-top-up,Product LPAs Co-design and Adoption Top-Up Funding,,
2025-02-28,open-digital-planning,odp-software-top-up,odp-software-top-up,Product Development Top-Up Funding,,
2025-02-28,open-digital-planning,odp-development-management-software,odp-development-management-software,Development Management Software Funding,https://mhclgdigital.blog.gov.uk/2025/03/18/funding-boost-to-support-digital-planning-innovation/,
2025-01-20,open-digital-planning,odp-strategic-project,odp-strategic-project,Strategic Project Funding,https://mhclgdigital.blog.gov.uk/2025/03/18/funding-boost-to-support-digital-planning-innovation/,
2025-03-01,open-digital-planning,proptech-round-4-continuous-funding,proptech-round-4-continuous-funding,PropTech Innovation Fund Round 4 Continuous Funding,https://mhclgdigital.blog.gov.uk/2025/03/18/funding-boost-to-support-digital-planning-innovation/,
2025-02-27,planning-reform,green-belt-reviews,green-belt-reviews,Funding to support local authorities with the costs of Green Belt reviews,https://www.gov.uk/government/publications/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-and-green-belt-reviews-successful-local-authorities/funding-to-support-local-authorities-with-the-costs-of-green-belt-reviews-successful-local-authorities,Capacity and capability funding
2025-03-19,planning-reform,local-plan-delivery,local-plan-delivery,Funding to support local authorities with the costs of local plan delivery,https://www.gov.uk/guidance/funding-to-support-local-authorities-with-the-costs-of-local-plan-delivery-successful-local-authorities,Capacity and capability funding
2025-09-28,open-digital-planning,odp-round-4,odp-round-4,ODP Digital Planning Improvement Funding,,https://mhclgdigital.blog.gov.uk/2025/09/23/digital-planning-transformation-gains-momentum/
